"route_id","parent_station","connecting_bus_routes","connecting_bus_riders"
"Red","place-alfcl",5,893.40865914787
"Red","place-davis",6,2257.57676637146
"Red","place-portr",0,0
"Red","place-harsq",8,3238.08351300832
"Red","place-cntsq",0,0
"Red","place-knncl",0,0
"Red","place-chmnl",0,0
"Red","place-pktrm",0,0
"Red","place-dwnxg",0,0
"Red","place-sstat",4,1949.36962023693
"Red","place-brdwy",0,0
"Red","place-andrw",7,3640.22092698589
"Red","place-jfk",3,3063.09177059984
"Red","place-shmnl",0,0
"Red","place-fldcr",8,3430.33487017944
"Red","place-smmnl",0,0
"Red","place-asmnl",11,6227.09757378881
"Red","place-nqncy",4,1212.4023992674
"Red","place-wlsta",0,0
"Red","place-qnctr",12,4136.4468743898
"Red","place-qamnl",2,727.122016404648
"Red","place-brntn",4,951.936031746032
"Mattapan","place-asmnl",11,6227.09757378881
"Mattapan","place-cedgr",0,0
"Mattapan","place-butlr",0,0
"Mattapan","place-miltt",0,0
"Mattapan","place-cenav",0,0
"Mattapan","place-valrd",0,0
"Mattapan","place-capst",0,0
"Mattapan","place-matt",9,4732.72496035708
"Orange","place-ogmnl",2,558.192678571429
"Orange","place-mlmnl",12,5457.0385325331
"Orange","place-welln",8,4170.41380201794
"Orange","place-astao",0,0
"Orange","place-sull",12,6557.02820595777
"Orange","place-ccmnl",0,0
"Orange","place-north",0,0
"Orange","place-haecl",0,0
"Orange","place-state",0,0
"Orange","place-dwnxg",0,0
"Orange","place-chncl",0,0
"Orange","place-tumnl",0,0
"Orange","place-bbsta",1,873.015571518132
"Orange","place-masta",0,0
"Orange","place-rugg",13,9110.15143186085
"Orange","place-rcmnl",0,0
"Orange","place-jaksn",5,2772.82725555846
"Orange","place-sbmnl",0,0
"Orange","place-grnst",0,0
"Orange","place-forhl",17,10128.4188207754
"Green","place-gover",0,0
"Green","place-pktrm",0,0
"Green","place-boyls",0,0
"Green","place-armnl",0,0
"Green","place-coecl",0,0
"Green","place-hymnl",0,0
"Green","place-kencl",6,3985.43458570737
"Green","place-bland",0,0
"Green","place-buest",0,0
"Green","place-bucen",0,0
"Green","place-amory",0,0
"Green","place-babck",0,0
"Green","place-brico",0,0
"Green","place-harvd",0,0
"Green","place-grigg",0,0
"Green","place-alsgr",0,0
"Green","place-wrnst",0,0
"Green","place-wascm",0,0
"Green","place-sthld",0,0
"Green","place-chswk",0,0
"Green","place-chill",0,0
"Green","place-sougr",0,0
"Green","place-lake",0,0
"Green","place-smary",0,0
"Green","place-hwsst",0,0
"Green","place-kntst",0,0
"Green","place-stpul",0,0
"Green","place-cool",0,0
"Green","place-sumav",0,0
"Green","place-bndhl",0,0
"Green","place-fbkst",0,0
"Green","place-bcnwa",0,0
"Green","place-tapst",0,0
"Green","place-denrd",0,0
"Green","place-engav",0,0
"Green","place-clmnl",0,0
"Green","place-unsqu",0,0
"Green","place-lech",4,1479.15198569302
"Green","place-spmnl",0,0
"Green","place-north",0,0
"Green","place-haecl",0,0
"Green","place-fenwy",0,0
"Green","place-longw",0,0
"Green","place-bvmnl",0,0
"Green","place-brkhl",0,0
"Green","place-bcnfd",0,0
"Green","place-rsmnl",2,1218.79615079365
"Green","place-chhil",0,0
"Green","place-newto",0,0
"Green","place-newtn",1,389.660912698413
"Green","place-eliot",0,0
"Green","place-waban",0,0
"Green","place-woodl",0,0
"Green","place-river",1,67
"Green","place-mdftf",0,0
"Green","place-balsq",0,0
"Green","place-mgngl",0,0
"Green","place-gilmn",0,0
"Green","place-esomr",0,0
"Green","place-prmnl",0,0
"Green","place-symcl",0,0
"Green","place-nuniv",0,0
"Green","place-mfa",0,0
"Green","place-lngmd",0,0
"Green","place-brmnl",0,0
"Green","place-fenwd",0,0
"Green","place-mispk",0,0
"Green","place-rvrwy",0,0
"Green","place-bckhl",0,0
"Green","place-hsmnl",0,0
"Blue","place-wondl",11,7609.68092365865
"Blue","place-rbmnl",0,0
"Blue","place-bmmnl",0,0
"Blue","place-sdmnl",0,0
"Blue","place-orhte",3,1301.99098883469
"Blue","place-wimnl",3,999.448083256613
"Blue","place-aport",2,893.969691159997
"Blue","place-mvbcl",5,2897.47886844205
"Blue","place-aqucl",0,0
"Blue","place-state",0,0
"Blue","place-gover",0,0
"Blue","place-bomnl",0,0
